Detector,Descriptor,Frame,TTC_Lidar,TTC_Camera,TTC_Difference,Keypoints,Matches,Valid_TTC
SHITOMASI,BRISK,1,12.515600,10.048757,2.466843,824,333,1
SHITOMASI,BRISK,2,12.614245,498.135709,485.521464,775,345,1
SHITOMASI,BRISK,3,14.091013,10.710055,3.380958,840,328,1
SHITOMASI,BRISK,4,16.689386,invalid,invalid,784,340,1
SHITOMASI,BRISK,5,15.746544,12.793690,2.952854,837,329,1
SHITOMASI,BRISK,6,12.783491,13.235709,0.452218,831,365,1
SHITOMASI,BRISK,7,11.984351,11.902798,0.081552,785,332,1
SHITOMASI,BRISK,8,13.124118,invalid,invalid,842,340,1
SHITOMASI,BRISK,9,13.024118,10.463289,2.560829,871,358,1
SHITOMASI,BRISK,10,11.174641,14.411967,3.237326,844,357,1
SHITOMASI,BRISK,11,12.808601,10.859527,1.949074,845,361,1
SHITOMASI,BRISK,12,8.959780,12.009469,3.049689,865,373,1
SHITOMASI,BRISK,13,9.964390,10.848678,0.884288,807,365,1
SHITOMASI,BRISK,14,9.598630,9.167742,0.430888,829,385,1
SHITOMASI,BRISK,15,8.521566,10.526381,2.004814,823,374,1
SHITOMASI,BRISK,16,9.515525,10.506387,0.990862,847,396,1
SHITOMASI,BRISK,17,9.612415,11.105484,1.493069,880,407,1
SHITOMASI,BRISK,18,8.398803,13.525652,5.126849,851,412,1
SHITOMASI,BRIEF,1,12.515600,10.048757,2.466843,824,333,1
SHITOMASI,BRIEF,2,12.614245,498.135709,485.521464,775,345,1
SHITOMASI,BRIEF,3,14.091013,10.710055,3.380958,840,328,1
SHITOMASI,BRIEF,4,16.689386,invalid,invalid,784,340,1
SHITOMASI,BRIEF,5,15.746544,12.793690,2.952854,837,329,1
SHITOMASI,BRIEF,6,12.783491,13.235709,0.452218,831,365,1
SHITOMASI,BRIEF,7,11.984351,11.902798,0.081552,785,332,1
SHITOMASI,BRIEF,8,13.124118,invalid,invalid,842,340,1
SHITOMASI,BRIEF,9,13.024118,10.463289,2.560829,871,358,1
SHITOMASI,BRIEF,10,11.174641,14.411967,3.237326,844,357,1
SHITOMASI,BRIEF,11,12.808601,10.859527,1.949074,845,361,1
SHITOMASI,BRIEF,12,8.959780,12.009469,3.049689,865,373,1
SHITOMASI,BRIEF,13,9.964390,10.848678,0.884288,807,365,1
SHITOMASI,BRIEF,14,9.598630,9.167742,0.430888,829,385,1
SHITOMASI,BRIEF,15,8.521566,10.526381,2.004814,823,374,1
SHITOMASI,BRIEF,16,9.515525,10.506387,0.990862,847,396,1
SHITOMASI,BRIEF,17,9.612415,11.105484,1.493069,880,407,1
SHITOMASI,BRIEF,18,8.398803,13.525652,5.126849,851,412,1
SHITOMASI,ORB,1,12.515600,9.158403,3.357197,824,429,1
SHITOMASI,ORB,2,12.614245,30.811113,18.196868,775,450,1
SHITOMASI,ORB,3,14.091013,12.787654,1.303359,840,417,1
SHITOMASI,ORB,4,16.689386,invalid,invalid,784,422,1
SHITOMASI,ORB,5,15.746544,12.793690,2.952854,837,423,1
SHITOMASI,ORB,6,12.783491,13.644651,0.861160,831,436,1
SHITOMASI,ORB,7,11.984351,11.630462,0.353889,785,415,1
SHITOMASI,ORB,8,13.124118,14.927493,1.803375,842,435,1
