Frame,TTC_Lidar,AKAZE+AKAZE,AKAZE+BRIEF,AKAZE+BRISK,AKAZE+FREAK,AKAZE+ORB,BRISK+BRIEF,BRISK+BRISK,BRISK+FREAK,BRISK+ORB,FAST+BRIEF,FAST+BRISK,FAST+FREAK,FAST+ORB,HARRIS+BRIEF,HARRIS+BRISK,HARRIS+FREAK,HARRIS+ORB,ORB+BRIEF,ORB+BRISK,ORB+FREAK,ORB+ORB,SHITOMASI+BRIEF,SHITOMASI+BRISK,SHITOMASI+FREAK,SHITOMASI+ORB,SIFT+BRIEF,SIFT+BRISK,SIFT+FREAK
1,12.5156,12.58385,12.84216,12.84216,12.84216,12.698288,13.237274,13.237274,13.237274,13.821103,12.948622,12.948622,12.948622,12.310703,11.078999,11.078999,11.078999,11.074775,16.512832,16.512832,16.512832,45.519194,10.048757,10.048757,10.048757,9.158403,12.745551,12.745551,12.745551
2,12.614245,14.929274,15.747556,15.747556,15.747556,15.936878,21.671065,21.671065,21.671065,20.329187,12.450594,12.450594,12.450594,13.053056,14.134073,14.134073,14.134073,14.134073,16.317992,16.317992,16.317992,19.2415,,,,30.811113,13.187562,13.187562,13.187562
3,14.091013,13.363578,13.789529,13.789529,13.789529,13.668277,13.856098,13.856098,13.856098,14.885763,12.851809,12.851809,12.851809,12.510941,12.442873,12.442873,12.442873,12.557432,12.620651,12.620651,12.620651,13.208183,10.710055,10.710055,10.710055,12.787654,14.824926,14.824926,14.824926
4,16.689386,14.4099,14.508468,14.508468,14.508468,14.538918,15.877865,15.877865,15.877865,15.967024,12.812201,12.812201,12.812201,12.828827,14.92256,14.92256,14.92256,15.378114,30.730957,30.730957,30.730957,25.04256,,,,,18.944621,18.944621,18.944621
5,15.746544,15.605091,14.55178,14.55178,14.55178,15.555981,26.094936,26.094936,26.094936,20.342819,13.836301,13.836301,13.836301,13.369814,,,,,67.964873,67.964873,67.964873,,12.79369,12.79369,12.79369,12.79369,15.072666,15.072666,15.072666
6,12.783491,14.588861,16.286422,16.286422,16.286422,14.492992,20.348314,20.348314,20.348314,22.599763,12.12963,12.12963,12.12963,12.564365,12.571504,12.571504,12.571504,12.571504,11.581575,11.581575,11.581575,,13.235709,13.235709,13.235709,13.644651,12.042417,12.042417,12.042417
7,11.984351,15.893268,16.858034,16.858034,16.858034,16.56298,20.768467,20.768467,20.768467,18.449443,12.932629,12.932629,12.932629,13.682417,12.040665,12.040665,12.040665,12.339416,,,,,11.902798,11.902798,11.902798,11.630462,14.181036,14.181036,14.181036
8,13.124118,15.23104,14.822271,14.822271,14.822271,14.897218,18.077502,18.077502,18.077502,18.723395,12.46527,12.46527,12.46527,14.285408,19.284012,19.284012,19.284012,13.079702,10.935021,10.935021,10.935021,34.132206,,,,14.927493,15.630655,15.630655,15.630655
9,13.024118,16.299383,16.962071,16.962071,16.962071,16.060177,17.641565,17.641565,17.641565,16.951796,12.365285,12.365285,12.365285,12.909652,,,,14.624118,,,,,10.463289,10.463289,10.463289,10.879155,13.749225,13.749225,13.749225
10,11.174641,12.108974,12.29627,12.29627,12.29627,12.223707,14.161269,14.161269,14.161269,15.283786,13.583495,13.583495,13.583495,13.437793,11.793137,11.793137,11.793137,11.811729,25.50015,25.50015,25.50015,,14.411967,14.411967,14.411967,11.46645,12.137512,12.137512,12.137512
11,12.808601,12.37065,13.104165,13.104165,13.104165,12.62303,12.264852,12.264852,12.264852,13.477317,11.983683,11.983683,11.983683,12.242531,13.350906,13.350906,13.350906,13.350906,8.291247,8.291247,8.291247,9.211089,10.859527,10.859527,10.859527,11.232001,12.758828,12.758828,12.758828
12,8.95978,11.992487,11.273984,11.273984,11.273984,12.64112,12.227058,12.227058,12.227058,13.014059,12.13679,12.13679,12.13679,12.186725,17.580091,17.580091,17.580091,13.983989,,,,,12.009469,12.009469,12.009469,11.200889,9.982315,9.982315,9.982315
13,9.96439,11.71593,10.913016,10.913016,10.913016,11.377363,12.977995,12.977995,12.977995,12.727945,11.814495,11.814495,11.814495,12.236824,12.020504,12.020504,12.020504,10.163157,9.226014,9.226014,9.226014,10.423887,10.848678,10.848678,10.848678,10.434533,9.50312,9.50312,9.50312
14,9.59863,10.579925,10.541351,10.541351,10.541351,10.79377,13.662099,13.662099,13.662099,14.95265,11.400004,11.400004,11.400004,11.362364,10.894492,10.894492,10.894492,11.565767,20.071912,20.071912,20.071912,,9.167742,9.167742,9.167742,9.261697,9.552575,9.552575,9.552575
15,8.521566,11.206631,12.668847,12.668847,12.668847,11.795976,13.91476,13.91476,13.91476,14.251591,11.067676,11.067676,11.067676,10.94866,10.953429,10.953429,10.953429,10.623099,8.730934,8.730934,8.730934,,10.526381,10.526381,10.526381,10.125275,9.596587,9.596587,9.596587
16,9.515525,10.522891,10.595214,10.595214,10.595214,10.314949,11.934325,11.934325,11.934325,11.284227,11.125471,11.125471,11.125471,11.007378,7.676937,7.676937,7.676937,7.676937,13.275473,13.275473,13.275473,,10.506387,10.506387,10.506387,9.677446,9.186536,9.186536,9.186536
17,9.612415,9.393377,9.545904,9.545904,9.545904,9.654256,9.830489,9.830489,9.830489,10.981746,10.2967,10.2967,10.2967,9.618302,12.736308,12.736308,12.736308,11.60881,15.768332,15.768332,15.768332,16.666733,11.105484,11.105484,11.105484,11.1574,9.464514,9.464514,9.464514
18,8.398803,9.536445,9.437916,9.437916,9.437916,9.796724,14.007627,14.007627,14.007627,14.05588,11.915563,11.915563,11.915563,11.654172,14.19169,14.19169,14.19169,14.262633,32.949985,32.949985,32.949985,42.995089,13.525652,13.525652,13.525652,12.754943,9.326502,9.326502,9.326502
