Rank,Combination,MAE,RMSE,Relative_Error_%,Stability_StdDev,Success_Rate_%,Outlier_Rate_%,Avg_Keypoints,Avg_Matches
1,FAST+BRISK,1.609,1.941,14.922,0.87,100.0,0.0,5282.333,2241.0
2,FAST+FREAK,1.609,1.941,14.922,0.87,100.0,0.0,5282.333,2241.0
3,FAST+BRIEF,1.609,1.941,14.922,0.87,100.0,0.0,5282.333,2241.0
4,FAST+ORB,1.607,1.978,14.723,1.095,100.0,0.0,5282.333,2853.056
5,SIFT+FREAK,0.87,1.13,7.353,2.696,100.0,0.0,1983.056,774.667
6,SIFT+BRIEF,0.87,1.13,7.353,2.696,100.0,0.0,1983.056,774.667
7,SIFT+BRISK,0.87,1.13,7.353,2.696,100.0,0.0,1983.056,774.667
8,AKAZE+AKAZE,1.601,1.953,14.328,2.153,100.0,0.0,1548.0,1120.556
9,SHITOMASI+BRISK,2.071,2.464,19.229,1.411,100.0,6.667,838.6,365.0
10,SHITOMASI+BRIEF,2.071,2.464,19.229,1.411,100.0,6.667,838.6,365.0
11,SHITOMASI+FREAK,2.071,2.464,19.229,1.411,100.0,6.667,838.6,365.0
12,AKAZE+ORB,1.689,2.155,15.32,2.164,100.0,0.0,1548.0,982.333
13,HARRIS+ORB,1.658,2.265,16.624,1.849,100.0,11.765,327.647,217.059
14,AKAZE+FREAK,1.839,2.34,16.227,2.375,100.0,0.0,1548.0,1008.5
15,AKAZE+BRISK,1.839,2.34,16.227,2.375,100.0,0.0,1548.0,1008.5
16,AKAZE+BRIEF,1.839,2.34,16.227,2.375,100.0,0.0,1548.0,1008.5
17,HARRIS+BRIEF,2.445,3.37,24.02,2.64,100.0,12.5,328.25,184.25
18,HARRIS+FREAK,2.445,3.37,24.02,2.64,100.0,12.5,328.25,184.25
19,HARRIS+BRISK,2.445,3.37,24.02,2.64,100.0,12.5,328.25,184.25
20,SHITOMASI+ORB,2.562,4.811,22.094,4.8,100.0,11.765,835.059,442.706
21,BRISK+ORB,4.023,4.763,36.249,3.174,100.0,33.333,2988.389,1485.333
22,BRISK+BRISK,4.145,5.178,36.292,4.099,100.0,33.333,2988.389,1580.167
23,BRISK+FREAK,4.145,5.178,36.292,4.099,100.0,33.333,2988.389,1580.167
24,BRISK+BRIEF,4.145,5.178,36.292,4.099,100.0,33.333,2988.389,1580.167
25,ORB+BRISK,9.57,16.233,79.459,14.81,100.0,40.0,500.0,311.6
26,ORB+BRIEF,9.57,16.233,79.459,14.81,100.0,40.0,500.0,311.6
27,ORB+FREAK,9.57,16.233,79.459,14.81,100.0,40.0,500.0,311.6
28,ORB+ORB,12.843,17.966,116.737,13.011,100.0,66.667,500.0,326.111
